Brand,Country,Whiskies,Votes,Rating,WB Ranking,Continente
Lagafoya,Germany,1,0,49.85,G,Europa
Lahnsteiner Brauerei,Germany,2,1,68.25,G,Europa
Landbrennerei Mühlhäuser,Germany,2,2,70.5,F,Europa
Lobangernich,Germany,4,4,75.34,E,Europa
Longhorn Moonshine,Germany,3,0,49.85,G,Europa
Mahrs Bräu,Germany,1,0,49.85,G,Europa
Maier's,Germany,1,1,51.33,G,Europa
Malzbeisser,Germany,1,0,49.85,G,Europa
Mandelbachtal,Germany,2,1,89.33,C,Europa
Marder,Germany,8,6,79.62,E,Europa
Märkische Spezialitätenbrennerei,Germany,11,5,76,E,Europa
Mary Read,Germany,1,1,84,D,Europa
Meisner,Germany,2,0,49.85,G,Europa
Meissener Whisky,Germany,2,2,80.17,D,Europa
Moenks,Germany,1,1,81,D,Europa
Moor Whisky,Germany,1,1,86,C,Europa
Mühlenthal,Germany,1,0,49.85,G,Europa
No. 7,Germany,1,1,88.75,C,Europa
North Sea Storm Whisky,Germany,2,0,49.85,G,Europa
Odinforest,Germany,1,1,52,G,Europa
Old Fahr,Germany,3,2,85,C,Europa
Old Owl,Germany,7,4,76.81,E,Europa
Old Sandhill,Germany,4,2,77.17,E,Europa
Oldmark,Germany,4,0,49.85,G,Europa
Oldmaster,Germany,1,0,49.85,G,Europa
Original Dauborner,Germany,5,3,66.33,G,Europa
Otto's Uisge Beatha,Germany,1,1,63,G,Europa
Owen,Germany,6,5,55.55,G,Europa
Palatinatus,Germany,8,3,60.11,G,Europa
Paul Moore,Germany,1,0,49.85,G,Europa
Pfälzer Leidenschaft,Germany,5,3,84.61,D,Europa
Pipe House,Germany,3,1,57,G,Europa
Pommerscher Greif,Germany,10,10,72.6,F,Europa
Preussischer Whisky,Germany,36,17,69.96,G,Europa
Prum,Germany,5,4,73.67,F,Europa
Queens & Kings,Germany,6,4,85.67,C,Europa
Racke Rauchzart,Germany,11,5,70.68,F,Europa
Rebell,Germany,1,1,76,E,Europa
Red Deer,Germany,2,2,82.49,D,Europa
Red Peak's,Germany,6,4,76.06,E,Europa
Reformator,Germany,1,0,49.85,G,Europa
Rieger und Hofmeister,Germany,4,1,59,G,Europa
Rissmoor,Germany,1,1,70,F,Europa
RWO Malocherwhisky,Germany,2,1,81,D,Europa
Sächsischer Single Malt,Germany,1,1,74.5,F,Europa
Saillt Mór,Germany,10,5,82.48,D,Europa
Sankt Johann,Germany,1,0,49.85,G,Europa
